MFtr,MFte,R_1,P_1,MAE,Distance,Value.dist,Qnt
0.65,0.05,0.0,0.0,0.0,,1.0,T50
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS2
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.05,0.0,0,0.0,,1.0,SMM
0.65,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.08433634034431467,DySyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,X
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MAX
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,ACC
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,CC
0.65,0.15,0.0,0.0,0.0,,1.0,T50
0.65,0.15,0.0,0.033,0.03,topsoe,0.9666666666666667,T50Syn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS
0.65,0.15,0.0,0.008,0.01,topsoe,0.9919839679358717,MSSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS2
0.65,0.15,0.0,0.006,0.01,topsoe,0.993993987975952,MS2Syn-TS
0.65,0.15,0.0,0,0.0,,1.0,SMM
0.65,0.15,0.0,0.06,0.06,topsoe,0.94,SMMSyn-TS
0.65,0.15,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.15,0.0,[0. 1.],[0. 1.],topsoe,0.043671744649700306,DySyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,X
0.65,0.15,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MAX
0.65,0.15,0.0,0.006,0.01,topsoe,0.994,MAXSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,ACC
0.65,0.15,0.0,0.006,0.01,topsoe,0.994,ACCSyn-TS
0.65,0.15,0.0,0.012,0.01,,0.988,CC
0.65,0.25,0.0,0.0,0.0,,1.0,T50
0.65,0.25,0.0,0.141,0.14,topsoe,0.8594377510040161,T50Syn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS2
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.25,0.0,0,0.0,,1.0,SMM
0.65,0.25,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.25,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.25,0.0,[0. 1.],[0. 1.],topsoe,0.00956744540119868,DySyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,X
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MAX
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,ACC
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.25,0.0,0.076,0.08,,0.924,CC
0.65,0.35,0.0,0.0,0.0,,1.0,T50
0.65,0.35,0.0,0.268,0.27,topsoe,0.7322834645669292,T50Syn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MS
0.65,0.35,0.0,0.048,0.05,topsoe,0.9522613065326633,MSSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MS2
0.65,0.35,0.0,0.027,0.03,topsoe,0.9731051344743277,MS2Syn-TS
0.65,0.35,0.0,0,0.0,,1.0,SMM
0.65,0.35,0.0,0.07,0.07,topsoe,0.93,SMMSyn-TS
0.65,0.35,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.35,0.0,[0.01 0.99],[0.01 0.99],topsoe,0.009833709164567684,DySyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,X
0.65,0.35,0.0,0.052,0.05,topsoe,0.9484029484029484,XSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MAX
0.65,0.35,0.0,0.015,0.02,topsoe,0.9850374064837906,MAXSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,ACC
0.65,0.35,0.0,0.043,0.04,topsoe,0.9570707070707071,ACCSyn-TS
0.65,0.35,0.0,0.162,0.16,,0.838,CC
0.65,0.45,0.0,0.0,0.0,,1.0,T50
0.65,0.45,0.0,0.277,0.28,topsoe,0.7230769230769232,T50Syn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MS
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MS2
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.45,0.0,0,0.0,,1.0,SMM
0.65,0.45,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.45,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.45,0.0,[0. 1.],[0. 1.],topsoe,0.01898997810141494,DySyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,X
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MAX
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,ACC
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.45,0.0,0.214,0.21,,0.786,CC
0.65,0.55,0.0,0.071,0.07,,0.9291338582677164,T50
0.65,0.55,0.0,0.517,0.52,topsoe,0.4832535885167465,T50Syn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MS
0.65,0.55,0.0,0.094,0.09,topsoe,0.9063670411985019,MSSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MS2
0.65,0.55,0.0,0.122,0.12,topsoe,0.8783287419651056,MS2Syn-TS
0.65,0.55,0.0,0,0.0,,1.0,SMM
0.65,0.55,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.55,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.55,0.0,[0.02 0.98],[0.02 0.98],topsoe,0.015734187990888687,DySyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,X
0.65,0.55,0.0,0.05,0.05,topsoe,0.9498069498069498,XSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MAX
0.65,0.55,0.0,0.067,0.07,topsoe,0.932806324110672,MAXSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,ACC
0.65,0.55,0.0,0.045,0.04,topsoe,0.9554655870445344,ACCSyn-TS
0.65,0.55,0.0,0.292,0.29,,0.708,CC
0.65,0.65,0.0,0.425,0.42,,0.5748031496062993,T50
0.65,0.65,0.0,0.471,0.47,topsoe,0.5294117647058824,T50Syn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MS
0.65,0.65,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MS2
0.65,0.65,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.65,0.0,0,0.0,,1.0,SMM
0.65,0.65,0.0,0.05,0.05,topsoe,0.95,SMMSyn-TS
0.65,0.65,0.0,0.036,0.04,topsoe,0.9638876718608842,DyS-TS
0.65,0.65,0.0,[0.17 0.83],[0.17 0.83],topsoe,0.006064327128200251,DySyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,X
0.65,0.65,0.0,0.23,0.23,topsoe,0.7698412698412699,XSyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MAX
0.65,0.65,0.0,0.266,0.27,topsoe,0.7336244541484715,MAXSyn-TS
0.65,0.65,0.0,0.03,0.03,,0.9696969696969697,ACC
0.65,0.65,0.0,0.198,0.2,topsoe,0.8022388059701493,ACCSyn-TS
0.65,0.65,0.0,0.332,0.33,,0.6679999999999999,CC
0.65,0.75,0.0,0.677,0.68,,0.32283464566929143,T50
0.65,0.75,0.0,0.34,0.34,topsoe,0.6601941747572815,T50Syn-TS
0.65,0.75,0.0,0.242,0.24,,0.7575757575757576,MS
0.65,0.75,0.0,0.225,0.22,topsoe,0.7746478873239437,MSSyn-TS
0.65,0.75,0.0,0.144,0.14,,0.8558971005014169,MS2
0.65,0.75,0.0,0.038,0.04,topsoe,0.9615384615384615,MS2Syn-TS
0.65,0.75,0.0,0.23,0.23,,0.77,SMM
0.65,0.75,0.0,0.17,0.17,topsoe,0.83,SMMSyn-TS
0.65,0.75,0.0,0.181,0.18,topsoe,0.8185170102152878,DyS-TS
0.65,0.75,0.0,[0.26 0.74],[0.26 0.74],topsoe,0.006875762509798397,DySyn-TS
0.65,0.75,0.0,0.129,0.13,,0.8712121212121211,X
0.65,0.75,0.0,0.062,0.06,topsoe,0.9380530973451326,XSyn-TS
0.65,0.75,0.0,0.077,0.08,,0.923076923076923,MAX
0.65,0.75,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.75,0.0,0.242,0.24,,0.7575757575757576,ACC
0.65,0.75,0.0,0.217,0.22,topsoe,0.7832699619771863,ACCSyn-TS
0.65,0.75,0.0,0.398,0.4,,0.602,CC
0.65,0.85,0.0,0.732,0.73,,0.26771653543307083,T50
0.65,0.85,0.0,0.764,0.76,topsoe,0.2364532019704435,T50Syn-TS
0.65,0.85,0.0,0.356,0.36,,0.6439393939393938,MS
0.65,0.85,0.0,0.285,0.28,topsoe,0.7154811715481171,MSSyn-TS
0.65,0.85,0.0,0.366,0.37,,0.6343470678003051,MS2
0.65,0.85,0.0,0.37,0.37,topsoe,0.6295637132973098,MS2Syn-TS
0.65,0.85,0.0,0.41,0.41,,0.59,SMM
0.65,0.85,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.85,0.0,0.323,0.32,topsoe,0.6765018728743245,DyS-TS
0.65,0.85,0.0,[0.39 0.61],[0.39 0.61],topsoe,0.006014374008325807,DySyn-TS
0.65,0.85,0.0,0.205,0.2,,0.7954545454545455,X
0.65,0.85,0.0,0.338,0.34,topsoe,0.6620689655172414,XSyn-TS
0.65,0.85,0.0,0.0,0.0,,1.0,MAX
0.65,0.85,0.0,1.0,1.0,topsoe,0.0,MAXSyn-TS
0.65,0.85,0.0,0.311,0.31,,0.6893939393939393,ACC
0.65,0.85,0.0,0.203,0.2,topsoe,0.7971014492753623,ACCSyn-TS
0.65,0.85,0.0,0.436,0.44,,0.5640000000000001,CC
0.65,0.95,0.0,0.882,0.88,,0.11811023622047256,T50
0.65,0.95,0.0,0.963,0.96,topsoe,0.03738317757009346,T50Syn-TS
0.65,0.95,0.0,0.652,0.65,,0.3484848484848484,MS
0.65,0.95,0.0,0.595,0.6,topsoe,0.40506329113924044,MSSyn-TS
0.65,0.95,0.0,0.417,0.42,,0.5826520601700458,MS2
0.65,0.95,0.0,0.023,0.02,topsoe,0.9767441860465116,MS2Syn-TS
0.65,0.95,0.0,0.48,0.48,,0.52,SMM
0.65,0.95,0.0,0.42,0.42,topsoe,0.58,SMMSyn-TS
0.65,0.95,0.0,0.576,0.58,topsoe,0.42394456366719124,DyS-TS
0.65,0.95,0.0,[0.44 0.56],[0.44 0.56],topsoe,0.005164350484936029,DySyn-TS
0.65,0.95,0.0,0.455,0.46,,0.5454545454545454,X
0.65,0.95,0.0,0.294,0.29,topsoe,0.7058823529411764,XSyn-TS
0.65,0.95,0.0,0.28,0.28,,0.7202797202797202,MAX
0.65,0.95,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.95,0.0,0.424,0.42,,0.5757575757575757,ACC
0.65,0.95,0.0,0.462,0.46,topsoe,0.5384615384615383,ACCSyn-TS
0.65,0.95,0.0,0.538,0.54,,0.46199999999999997,CC
0.65,0.05,0.0,0.0,0.0,,1.0,T50
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS2
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.05,0.0,0,0.0,,1.0,SMM
0.65,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.08767303685644569,DySyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,X
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MAX
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,ACC
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,CC
0.65,0.15,0.0,0.0,0.0,,1.0,T50
0.65,0.15,0.0,0.023,0.02,topsoe,0.9766536964980544,T50Syn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS
0.65,0.15,0.0,0.006,0.01,topsoe,0.994,MSSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS2
0.65,0.15,0.0,0.012,0.01,topsoe,0.9879759519038076,MS2Syn-TS
0.65,0.15,0.0,0,0.0,,1.0,SMM
0.65,0.15,0.0,0.05,0.05,topsoe,0.95,SMMSyn-TS
0.65,0.15,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.15,0.0,[0. 1.],[0. 1.],topsoe,0.07652541349934178,DySyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,X
0.65,0.15,0.0,0.006,0.01,topsoe,0.9939879759519038,XSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MAX
0.65,0.15,0.0,0.02,0.02,topsoe,0.98,MAXSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,ACC
0.65,0.15,0.0,0.008,0.01,topsoe,0.992,ACCSyn-TS
0.65,0.15,0.0,0.008,0.01,,0.992,CC
0.65,0.25,0.0,0.0,0.0,,1.0,T50
0.65,0.25,0.0,0.15,0.15,topsoe,0.85,T50Syn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS2
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.25,0.0,0,0.0,,1.0,SMM
0.65,0.25,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.25,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.25,0.0,[0. 1.],[0. 1.],topsoe,0.010164931803578296,DySyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,X
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MAX
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,ACC
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.25,0.0,0.062,0.06,,0.938,CC
0.65,0.35,0.0,0.0,0.0,,1.0,T50
0.65,0.35,0.0,0.293,0.29,topsoe,0.7073170731707317,T50Syn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MS
0.65,0.35,0.0,0.06,0.06,topsoe,0.940149625935162,MSSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MS2
0.65,0.35,0.0,0.022,0.02,topsoe,0.9776674937965261,MS2Syn-TS
0.65,0.35,0.0,0,0.0,,1.0,SMM
0.65,0.35,0.0,0.08,0.08,topsoe,0.92,SMMSyn-TS
0.65,0.35,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.35,0.0,[0. 1.],[0. 1.],topsoe,0.009563120624134806,DySyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,X
0.65,0.35,0.0,0.059,0.06,topsoe,0.9407407407407408,XSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,MAX
0.65,0.35,0.0,0.008,0.01,topsoe,0.9924433249370277,MAXSyn-TS
0.65,0.35,0.0,0.0,0.0,,1.0,ACC
0.65,0.35,0.0,0.052,0.05,topsoe,0.9477434679334917,ACCSyn-TS
0.65,0.35,0.0,0.152,0.15,,0.848,CC
0.65,0.45,0.0,0.0,0.0,,1.0,T50
0.65,0.45,0.0,0.284,0.28,topsoe,0.7156398104265402,T50Syn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MS
0.65,0.45,0.0,0.104,0.1,topsoe,0.8962025316455696,MSSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MS2
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.45,0.0,0,0.0,,1.0,SMM
0.65,0.45,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.45,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.45,0.0,[0. 1.],[0. 1.],topsoe,0.017369626499477736,DySyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,X
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,MAX
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.45,0.0,0.0,0.0,,1.0,ACC
0.65,0.45,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.45,0.0,0.228,0.23,,0.772,CC
0.65,0.55,0.0,0.0,0.0,,1.0,T50
0.65,0.55,0.0,0.54,0.54,topsoe,0.4600000000000001,T50Syn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MS
0.65,0.55,0.0,0.151,0.15,topsoe,0.8493723849372384,MSSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MS2
0.65,0.55,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.55,0.0,0,0.0,,1.0,SMM
0.65,0.55,0.0,0.09,0.09,topsoe,0.91,SMMSyn-TS
0.65,0.55,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.55,0.0,[0.02 0.98],[0.02 0.98],topsoe,0.0037947354421715455,DySyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,X
0.65,0.55,0.0,0.053,0.05,topsoe,0.9467680608365019,XSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,MAX
0.65,0.55,0.0,0.181,0.18,topsoe,0.8188679245283018,MAXSyn-TS
0.65,0.55,0.0,0.0,0.0,,1.0,ACC
0.65,0.55,0.0,0.088,0.09,topsoe,0.9121338912133892,ACCSyn-TS
0.65,0.55,0.0,0.272,0.27,,0.728,CC
0.65,0.65,0.0,0.181,0.18,,0.8188976377952757,T50
0.65,0.65,0.0,0.417,0.42,topsoe,0.5826771653543308,T50Syn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MS
0.65,0.65,0.0,0.108,0.11,topsoe,0.8916666666666667,MSSyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MS2
0.65,0.65,0.0,0.247,0.25,topsoe,0.752851711026616,MS2Syn-TS
0.65,0.65,0.0,0.09,0.09,,0.91,SMM
0.65,0.65,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.65,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.65,0.0,[0.12 0.88],[0.12 0.88],topsoe,0.011346503491507325,DySyn-TS
0.65,0.65,0.0,0.015,0.02,,0.9848484848484849,X
0.65,0.65,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,MAX
0.65,0.65,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.65,0.0,0.0,0.0,,1.0,ACC
0.65,0.65,0.0,0.144,0.14,topsoe,0.8559322033898304,ACCSyn-TS
0.65,0.65,0.0,0.31,0.31,,0.69,CC
0.65,0.75,0.0,0.606,0.61,,0.39370078740157466,T50
0.65,0.75,0.0,0.685,0.68,topsoe,0.31506849315068486,T50Syn-TS
0.65,0.75,0.0,0.303,0.3,,0.6969696969696969,MS
0.65,0.75,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.75,0.0,0.019,0.02,,0.981442119032047,MS2
0.65,0.75,0.0,0.217,0.22,topsoe,0.7828947368421053,MS2Syn-TS
0.65,0.75,0.0,0.06,0.06,,0.94,SMM
0.65,0.75,0.0,0.33,0.33,topsoe,0.67,SMMSyn-TS
0.65,0.75,0.0,0.294,0.29,topsoe,0.706259299815663,DyS-TS
0.65,0.75,0.0,[0.03 0.97],[0.03 0.97],topsoe,0.005061453072541222,DySyn-TS
0.65,0.75,0.0,0.038,0.04,,0.962121212121212,X
0.65,0.75,0.0,0.067,0.07,topsoe,0.9333333333333332,XSyn-TS
0.65,0.75,0.0,0.0,0.0,,1.0,MAX
0.65,0.75,0.0,0.457,0.46,topsoe,0.5425101214574899,MAXSyn-TS
0.65,0.75,0.0,0.098,0.1,,0.9015151515151514,ACC
0.65,0.75,0.0,0.131,0.13,topsoe,0.8690476190476191,ACCSyn-TS
0.65,0.75,0.0,0.37,0.37,,0.63,CC
0.65,0.85,0.0,0.953,0.95,,0.047244094488189003,T50
0.65,0.85,0.0,0.907,0.91,topsoe,0.09302325581395354,T50Syn-TS
0.65,0.85,0.0,0.288,0.29,,0.7121212121212122,MS
0.65,0.85,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.85,0.0,0.277,0.28,,0.7229670808807499,MS2
0.65,0.85,0.0,0.41,0.41,topsoe,0.5901247289337291,MS2Syn-TS
0.65,0.85,0.0,0.31,0.31,,0.69,SMM
0.65,0.85,0.0,0.29,0.29,topsoe,0.71,SMMSyn-TS
0.65,0.85,0.0,0.272,0.27,topsoe,0.7275724500925324,DyS-TS
0.65,0.85,0.0,[0. 1.],[0. 1.],topsoe,0.005634534355619437,DySyn-TS
0.65,0.85,0.0,0.417,0.42,,0.5833333333333335,X
0.65,0.85,0.0,0.264,0.26,topsoe,0.7364341085271318,XSyn-TS
0.65,0.85,0.0,0.042,0.04,,0.958041958041958,MAX
0.65,0.85,0.0,0.72,0.72,topsoe,0.27966101694915246,MAXSyn-TS
0.65,0.85,0.0,0.333,0.33,,0.6666666666666665,ACC
0.65,0.85,0.0,0.419,0.42,topsoe,0.5813953488372092,ACCSyn-TS
0.65,0.85,0.0,0.458,0.46,,0.542,CC
0.65,0.95,0.0,0.984,0.98,,0.015748031496062964,T50
0.65,0.95,0.0,0.956,0.96,topsoe,0.04419889502762431,T50Syn-TS
0.65,0.95,0.0,0.545,0.55,,0.4545454545454545,MS
0.65,0.95,0.0,0.175,0.18,topsoe,0.8245614035087718,MSSyn-TS
0.65,0.95,0.0,0.41,0.41,,0.5900370612600829,MS2
0.65,0.95,0.0,0.527,0.53,topsoe,0.4732824427480916,MS2Syn-TS
0.65,0.95,0.0,0.44,0.44,,0.56,SMM
0.65,0.95,0.0,0.4,0.4,topsoe,0.6,SMMSyn-TS
0.65,0.95,0.0,0.473,0.47,topsoe,0.5272564910116997,DyS-TS
0.65,0.95,0.0,[0.42 0.58],[0.42 0.58],topsoe,0.0034166332682099,DySyn-TS
0.65,0.95,0.0,0.5,0.5,,0.5,X
0.65,0.95,0.0,0.235,0.24,topsoe,0.7647058823529411,XSyn-TS
0.65,0.95,0.0,0.133,0.13,,0.867132867132867,MAX
0.65,0.95,0.0,0.331,0.33,topsoe,0.6692015209125476,MAXSyn-TS
0.65,0.95,0.0,0.53,0.53,,0.4696969696969697,ACC
0.65,0.95,0.0,0.655,0.66,topsoe,0.345238095238095,ACCSyn-TS
0.65,0.95,0.0,0.496,0.5,,0.504,CC
0.65,0.05,0.0,0.0,0.0,,1.0,T50
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,T50Syn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MS2
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.05,0.0,0,0.0,,1.0,SMM
0.65,0.05,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.05,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.05,0.0,[0. 1.],[0. 1.],topsoe,0.07465609789734948,DySyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,X
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,MAX
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,ACC
0.65,0.05,0.0,0.0,0.0,topsoe,1.0,ACCSyn-TS
0.65,0.05,0.0,0.0,0.0,,1.0,CC
0.65,0.15,0.0,0.0,0.0,,1.0,T50
0.65,0.15,0.0,0.013,0.01,topsoe,0.9874476987447699,T50Syn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS
0.65,0.15,0.0,0.006,0.01,topsoe,0.9939879759519038,MSSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MS2
0.65,0.15,0.0,0.01,0.01,topsoe,0.99,MS2Syn-TS
0.65,0.15,0.0,0,0.0,,1.0,SMM
0.65,0.15,0.0,0.04,0.04,topsoe,0.96,SMMSyn-TS
0.65,0.15,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.15,0.0,[0. 1.],[0. 1.],topsoe,0.054098521106350675,DySyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,X
0.65,0.15,0.0,0.004,0.0,topsoe,0.9959839357429718,XSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,MAX
0.65,0.15,0.0,0.006,0.01,topsoe,0.994,MAXSyn-TS
0.65,0.15,0.0,0.0,0.0,,1.0,ACC
0.65,0.15,0.0,0.018,0.02,topsoe,0.982,ACCSyn-TS
0.65,0.15,0.0,0.008,0.01,,0.992,CC
0.65,0.25,0.0,0.0,0.0,,1.0,T50
0.65,0.25,0.0,0.126,0.13,topsoe,0.8739837398373984,T50Syn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MSSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MS2
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MS2Syn-TS
0.65,0.25,0.0,0,0.0,,1.0,SMM
0.65,0.25,0.0,0,0.0,topsoe,1.0,SMMSyn-TS
0.65,0.25,0.0,0.0,0.0,topsoe,0.9999960886787118,DyS-TS
0.65,0.25,0.0,[0. 1.],[0. 1.],topsoe,0.015556868606324478,DySyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,X
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,XSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,MAX
0.65,0.25,0.0,0.0,0.0,topsoe,1.0,MAXSyn-TS
0.65,0.25,0.0,0.0,0.0,,1.0,ACC
